Site Name,Device Hostname,Device Description,Software,Version
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Adobe Lightroom,8.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Adobe Media Encoder 2025,25.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Adobe Photoshop 2025,26.2.0
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Adobe Premiere Rush,2.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Adobe Update Helper,6.5.0.348
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AdobeCleanUpUtility,8.5.1.47
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AdobeGCClient,8.5.1.47
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AdobeIPCBroker,7.2.1.38
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,adobe_licensing_helper,1.0.0.132
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,adobe_licensing_helper,1.0.0.42
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,adobe_licutil,10.0.0.274
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,adobe_licutil,11.0.0.39
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AEM Agent,4.4
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AinuIM,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AirDrop,14.6
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AirPlayUIAgent,2
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AirPort Base Station Agent,2.2.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AirPort Utility,6.3.9
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AirScanLegacyDiscovery,607
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AirScanScanner,18
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Airy,3.27
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AME_25_1_32,6.4.0.361
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AMSEngagementViewService,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AOSAlertManager,1.07
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AOSHeartbeat,1.07
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AOSPushRelay,1.07
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AOSUIPrefPaneLauncher,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,App Store,3
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AppCleaner,3.6.8
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AppleMobileDeviceHelper,5
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AppleMobileSync,5
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AppleScript Utility,1.1.2
